"Query","Clicks","Impressions","CTR","Position"
"multimedia translation dubai","3                                                                                                                                                                                         100%","410                                                                                                                                                                                         27.1%","0.7%                                                                                                                                                                                         100%","12.6                                                                                                                                                                                         72.8%"
"urgent translation service","3                                                                                                                                                                                         100%","160                                                                                                                                                                                         10.6%","1.9%                                                                                                                                                                                         100%","22.9                                                                                                                                                                                         58.9%"
"authenticated translation","1                                                                                                                                                                                         100%","16                                                                                                                                                                                         100%","6.3%                                                                                                                                                                                         100%","10.7                                                                         -100%"
"legal translation dubai marina","1                                                                                                                                                                                         100%","21                                                                                                                                                                                         100%","4.8%                                                                                                                                                                                         100%","21.6                                                                         -100%"
"onlinetranslation.ae","1                                                                                                                                                                                         100%","39                                                                                                                                                                                         100%","2.6%                                                                                                                                                                                         100%","3.5                                                                         -100%"
"translation companies in uae","1                                                                                                                                                                                         100%","31                                                                                                                                                                                         67.7%","3.2%                                                                                                                                                                                         100%","81                                                                         -8.8%"
"translation of degree certificates","1                                                                                                                                                                                         100%","51                                                                         -15%","2%                                                                                                                                                                                         100%","33                                                                                                                                                                                         62.6%"
"translation services near me","1                                                                                                                                                                                         100%","66                                                                                                                                                                                         98.5%","1.5%                                                                                                                                                                                         100%","79.5                                                                         -76.1%"
"urgent translation services","1                                                                                                                                                                                         100%","25                                                                         -26.5%","4%                                                                                                                                                                                         100%","63.4                                                                                                                                                                                         18.3%"
"medical translation uae","0                                                                         -100%","170                                                                         -57.6%","0%                                                                         -100%","32.4                                                                         -17.1%"
"online translation services","0                                                                         -100%","367                                                                         -14.3%","0%                                                                         -100%","8.8                                                                                                                                                                                         55.2%"
"""certified translation""","0","5                                                                                                                                                                                         100%","0%","61.4                                                                         -100%"
"""mofauae""","0","3                                                                                                                                                                                         100%","0%","7.3                                                                         -100%"
"""onlinetranslation.ae""","0","2                                                                                                                                                                                         100%","0%","1                                                                         -100%"
"abu dhabi legal translation","0","5                                                                                                                                                                                         100%","0%","89.4                                                                         -100%"
"abu dhabi translate","0","2                                                                                                                                                                                         100%","0%","74.5                                                                         -100%"
"abu dhabi translation","0","4                                                                                                                                                                                         100%","0%","63.3                                                                         -100%"
"abu dhbai moj attestation","0","3                                                                                                                                                                                         100%","0%","51                                                                         -100%"
"academic certificate meaning in hindi","0","1                                                                                                                                                                                         100%","0%","4                                                                         -100%"
"academic editing and proofreading services","0","2                                                                                                                                                                                         100%","0%","55.5                                                                         -100%"
"academic papers translation services","0","13                                                                                                                                                                                         100%","0%","88.6                                                                         -100%"
"academic proofreading service","0","2                                                                         -80%","0%","12.5                                                                                                                                                                                         74.1%"
"academic transcript","0","2                                                                                                                                                                                         100%","0%","41.5                                                                         -100%"
"academic transcript translation service","0","194                                                                                                                                                                                         49%","0%","64.1                                                                                                                                                                                         9.1%"
"academic transcript translation services","0","2                                                                                                                                                                                         100%","0%","33.5                                                                         -100%"

